Data generated by the ASTRA High Altitude Balloon Flight Planner - University of Southampton,,,,,
Simulation #,Time from launch [s],Latitude,Longitude,Altitude [m],Remarks
1.0,831.0,29.211323410234417,-81.0739402147455,2456.789203921896,
1.0,834.0,29.211312208610728,-81.07403893628239,2465.849473480002,
1.0,837.0,29.21130088651877,-81.07413705551554,2474.911324738724,
1.0,840.0,29.21128944658145,-81.07423457270417,2483.9747576980612,
1.0,843.0,29.211277891411775,-81.07433148811783,2493.0397723580145,
1.0,846.0,29.211266223612892,-81.0744278020365,2502.106368718583,
1.0,849.0,29.21125444577796,-81.07452351475027,2511.1745467797673,
1.0,852.0,29.211242560490216,-81.07461862655941,2520.2443065415673,
1.0,855.0,29.211230570322883,-81.07471313777414,2529.315648003983,
1.0,858.0,29.211218477839147,-81.07480704871458,2538.388571167014,
1.0,861.0,29.21120628559219,-81.07490035971061,2547.463076030661,
1.0,864.0,29.21119399612509,-81.07499307110184,2556.5391625949233,
1.0,867.0,29.211181611970872,-81.07508518323746,2565.6168308598017,
1.0,870.0,29.211169321675115,-81.0751766462959,2574.696080825295,
1.0,873.0,29.21115733629652,-81.07526740269117,2583.7769124914043,
1.0,876.0,29.211145652594816,-81.07535745200795,2592.8593258581295,
1.0,879.0,29.211134267326766,-81.0754467937324,2601.9433209254703,
1.0,882.0,29.211123177246233,-81.07553542736099,2611.028897693426,
1.0,885.0,29.211112379104307,-81.07562335240068,2620.116056161998,
1.0,888.0,29.21110186964931,-81.07571056836886,2629.2047963311857,
1.0,891.0,29.21109164562695,-81.07579707479353,2638.295118200989,
1.0,894.0,29.21108170378033,-81.07588287121322,2647.3870217714075,
1.0,897.0,29.211072040850027,-81.07596795717718,2656.4805070424422,
1.0,900.0,29.211062653574228,-81.07605233224538,2665.575574014092,
1.0,903.0,29.211053538688706,-81.07613599598855,2674.6722226863576,
1.0,906.0,29.211044692927008,-81.07621894798828,2683.770453059239,
1.0,909.0,29.211036113020437,-81.07630118783707,2692.8702651327358,
1.0,912.0,29.21102779569813,-81.07638271513832,2701.9716589068485,
1.0,915.0,29.211019737687213,-81.07646352950651,2711.0746343815767,
1.0,918.0,29.211011935712783,-81.07654363056713,2720.1791915569206,
1.0,921.0,29.211004386498,-81.07662301795675,2729.28533043288,
1.0,924.0,29.210997086764216,-81.07670169132318,2738.393051009455,
1.0,927.0,29.210990033230956,-81.07677965032538,2747.5023532866458,
1.0,930.0,29.210983222616086,-81.07685689463358,2756.613237264452,
1.0,933.0,29.210976651635814,-81.07693342392935,2765.725702942874,
1.0,936.0,29.210970317004755,-81.07700923790556,2774.8397503219117,
1.0,939.0,29.21096421543608,-81.07708433626652,2783.9553794015646,
1.0,942.0,29.210958343641504,-81.07715871872797,2793.0725901818337,
1.0,945.0,29.21095269833137,-81.07723238501713,2802.191382662718,
1.0,948.0,29.210947276214775,-81.07730533487276,2811.311756844218,
1.0,951.0,29.21094207399956,-81.07737756804518,2820.433712726334,
1.0,954.0,29.21093708839247,-81.07744908429635,2829.5572503090652,
1.0,957.0,29.210932316099132,-81.07751988339986,2838.682369592412,
1.0,960.0,29.21092788551658,-81.07758998743935,2847.809070576375,
1.0,963.0,29.210924075828952,-81.077659440874,2856.937353260953,
1.0,966.0,29.21092087545453,-81.07772823747145,2866.0672176461467,
1.0,969.0,29.210918272777114,-81.0777963710385,2875.1986637319565,
1.0,972.0,29.210916256148106,-81.07786383557549,2884.3316915183814,
1.0,975.0,29.210914813888717,-81.07793062527612,2893.4663010054223,
1.0,978.0,29.210913934292215,-81.0779967345275,2902.602492193079,
1.0,981.0,29.21091360562602,-81.07806215790984,2911.7402650813506,
1.0,984.0,29.210913816133857,-81.07812689019629,2920.8796196702383,
1.0,987.0,29.21091455403802,-81.07819092635287,2930.0205559597416,
1.0,990.0,29.21091580754138,-81.07825426153804,2939.1630739498605,
1.0,993.0,29.21091756482965,-81.07831689110257,2948.307173640595,
1.0,996.0,29.210919813973035,-81.07837881074173,2957.450917632796,
1.0,999.0,29.21092254308586,-81.0784400162672,2966.595286942238,
1.0,1002.0,29.210925740318036,-81.07850050361414,2975.741147918972,
1.0,1005.0,29.210929393811007,-81.0785602689085,2984.888500562997,
1.0,1008.0,29.21093349169996,-81.07861930846674,2994.037344874313,
1.0,1011.0,29.21093802211583,-81.07867761879518,3003.18768085292,
1.0,1014.0,29.210942973187326,-81.07873519658965,3012.3395084988188,
1.0,1017.0,29.21094833304311,-81.07879203873495,3021.4928278120087,
1.0,1020.0,29.210954089813743,-81.07884814230437,3030.6476387924895,
1.0,1023.0,29.210960231633706,-81.078903504559,3039.803941440262,
1.0,1026.0,29.210966746643514,-81.07895812294731,3048.9617357553257,
1.0,1029.0,29.210973622991606,-81.07901199510444,3058.1210217376806,
1.0,1032.0,29.210980848836456,-81.0790651188516,3067.281799387327,
1.0,1035.0,29.210988412348456,-81.07911749219542,3076.444068704264,
1.0,1038.0,29.210996301711905,-81.0791691133272,3085.6078296884925,
1.0,1041.0,29.211004505127033,-81.07921998062224,3094.7730823400125,
1.0,1044.0,29.211013010811854,-81.07927009263918,3103.9398266588237,
1.0,1047.0,29.211021807004112,-81.07931944811908,3113.1080626449257,
1.0,1050.0,29.21103088196326,-81.07936804598478,3122.2777902983194,
1.0,1053.0,29.211040716754994,-81.07941594620398,3131.4490096190043,
1.0,1056.0,29.211052030426046,-81.07946319880791,3140.6217206069805,
1.0,1059.0,29.211064792393145,-81.07950974583176,3149.795923262248,
1.0,1062.0,29.211078970406863,-81.07955553066051,3158.971617584806,
1.0,1065.0,29.211094530624585,-81.07960049849467,3168.148803574656,
1.0,1068.0,29.2111114376843,-81.07964459640138,3177.3274812317973,
1.0,1071.0,29.211129654779416,-81.07968777336204,3186.5076505562297,
1.0,1074.0,29.211149143734126,-81.07972998031622,3195.6893115479534,
1.0,1077.0,29.211169865079448,-81.07977117020194,3204.872464206968,
1.0,1080.0,29.211191778129773,-81.07981129799246,3214.057108533274,
1.0,1083.0,29.21121484105969,-81.07985032072948,3223.2432445268714,
1.0,1086.0,29.21123901098109,-81.07988819755265,3232.43087218776,
1.0,1089.0,29.21126424402049,-81.0799248897259,3241.61999151594,
1.0,1092.0,29.211290495396277,-81.07996036066001,3250.810602511411,
1.0,1095.0,29.21131771949599,-81.079994575932,3260.0027051741736,
1.0,1098.0,29.21134586995335,-81.08002750330098,3269.1962995042268,
1.0,1101.0,29.211374899725083,-81.08005911272073,3278.3913855015717,
1.0,1104.0,29.211404761167405,-81.08008937634908,3287.587963166208,
1.0,1107.0,29.211435406111974,-81.08011826855393,3296.7860324981352,
1.0,1110.0,29.211466785941404,-81.08014576591619,3305.985593497354,
1.0,1113.0,29.211498851664086,-81.08017184722955,3315.1866461638638,
1.0,1116.0,29.211531553988284,-81.08019649349721,3324.3891904976645,
1.0,1119.0,29.211564843395536,-81.0802196879256,3333.593226498757,
1.0,1122.0,29.211598670213064,-81.08024141591513,3342.7987541671405,
1.0,1125.0,29.21163298468528,-81.08026166504798,3352.0057735028154,
1.0,1128.0,29.211667737044298,-81.08028042507341,3361.2142845057815,
1.0,1131.0,29.211702877579278,-81.08029768788973,3370.424287176039,
1.0,1134.0,29.211738356704657,-81.0803134475242,3379.6357815135875,
1.0,1137.0,29.21177412502709,-81.08032770010988,3388.8487675184274,
1.0,1140.0,29.211810133411092,-81.08034044386,3398.0632451905585,
1.0,1143.0,29.211846333043344,-81.08035167904012,3407.279214529981,
1.0,1146.0,29.211882675495517,-81.08036140793757,3416.496675536694,
1.0,1149.0,29.211919410364985,-81.080370384821,3425.715628210699,
1.0,1152.0,29.21195664362335,-81.08037889435471,3434.936072551995,
1.0,1155.0,29.21199436991368,-81.0803869233528,3444.1580085605824,
1.0,1158.0,29.2120325836607,-81.08039445867952,3453.381436236461,
1.0,1161.0,29.21207127907298,-81.08040148731551,3462.606355579631,
1.0,1164.0,29.212110450145207,-81.08040799636211,3471.832766590092,
1.0,1167.0,29.212150090660586,-81.08041397304567,3481.0606692678443,
1.0,1170.0,29.21219019419318,-81.08041940472138,3490.290063612888,
1.0,1173.0,29.212230754110433,-81.08042427887766,3499.520949625223,
1.0,1176.0,29.212271763575657,-81.08042858313989,3508.753327304849,
1.0,1179.0,29.21231321555059,-81.0804323052744,3517.987196651766,
